Gene,log2FC,pvalue
C12orf54,0.005008428,0.862386593
C14orf105,0,0.994677935
C15orf53,0.009824125,0.728170816
C17orf99,0,0.994677935
C1orf105,0.005008428,0.862386593
C1orf158,0.005008428,0.862386593
C1orf204,0.005008428,0.862386593
C1orf210,0,0.994677935
C1orf64,0.005008428,0.862386593
C2orf72,0.005008428,0.862386593
C2orf74,0,0.994677935
C8orf86,0.005008428,0.862386593
C8orf89,0.009824125,0.728170816
CACNA2D1,0.005008428,0.862386593
CACNG2,0.006440627,0.844020544
CADM1,0.005008428,0.862386593
CADPS,0.009824125,0.713701205
CAMK1,0.018689535,0.563158125
CATSPER1,0,0.99453583
CCDC141,0,0.994437516
CCDC149,0.005008428,0.862386593
CCDC158,0,0.994677935
CCDC173,0.005008428,0.862386593
CCDC187,0.011673911,0.711756672
CD101,0.005008428,0.862386593
CD22,0.005008428,0.862386593
CD300LD,0.009824125,0.737561116
CD302,0.005008428,0.862386593
CD40,0.005008428,0.862386593
CD74,0,0.994677935
CDC42EP5,0,0.994677935
CDCP1,0.015958145,0.657311315
CDH11,0,0.994677935
CDH12,0.005008428,0.862386593
CDH22,0,0.994677935
CDH26,0.005008428,0.862386593
CEACAM5,0.005008428,0.862386593
CETP,0.009824125,0.737561116
CFAP206,0.009824125,0.728170816
CFAP69,0.016786561,0.659998036
CFB,0.005008428,0.862386593
CFHR1,0.005008428,0.862386593
CFI,0,0.994677935
CGA,0,0.994677935
CHGA,0,0.994677935
CHGB,0.005008428,0.862386593
CHIT1,0.009824125,0.737561116
CHRM2,0.005008428,0.862386593
CLEC14A,0,0.994677935
CLMP,0,0.994677935
CLRN3,0,0.994677935
CMBL,0.005008428,0.862386593
CMKLR1,0,0.994677935
CNTNAP2,0.005008428,0.862386593
CNTNAP3,0.005008428,0.862386593
CNTNAP3B,0,0.994677935
COL6A6,0.005147797,0.860491506
COL8A1,0,0.994677428
COL8A2,0.005008428,0.862386593
COMP,0.005008428,0.862386593
COX8C,0.005008428,0.862386593
CPAMD8,0,0.994677935
CPLX4,0.005008428,0.862386593
CREB5,0.005147797,0.860491506
CREG2,0.005008428,0.862386593
CRHBP,0.005008428,0.862386593
CRHR2,0.005008428,0.862386593
CSTA,0.014639821,0.615626975
CU633980.1,0.011673911,0.711756672
CXorf36,0.005008428,0.862386593
CYB561,0.005008428,0.862386593
CYP26C1,0.005008428,0.862386593
CYP2B6,0.005008428,0.862386593
CYP2S1,0,0.994677935
CYP2W1,0.005008428,0.862386593
CYP4F12,0,0.994677935
DACH1,0,0.994677935
DAGLA,0.005147797,0.860491506
DCDC2,0.005147797,0.860491506
DCHS2,0.005008428,0.862386593
DDO,0.005008428,0.862386593
DEFB133,0.005008428,0.862386593
DFNA5,0,0.994677935
DGAT2L6,0,0.994677935
DLC1,0.005008428,0.862386593
DLL3,0,0.994677935
DMBX1,0.005008428,0.862386593
DNAH6,0.009824125,0.728170816
DNAH8,0.005008428,0.862386593
DNAJC5G,0.035515761,0.522492411
DNASE1L3,0,0.994677935
DNASE2B,0.037670511,0.406118211
DPCD,0.005008428,0.862386593
DSC2,0,0.994677935
DUOX1,0,0.994437516
DUXB,0.005008428,0.862386593
ECM2,0.005008428,0.862386593
EFCAB10,0.005008428,0.862386593
EFCAB6,0.005008428,0.862386593
EIF4E1B,0.009824125,0.734886202
ELAVL2,0,0.994677935
ENAM,0,0.994677935
ENPEP,0,0.994677935
ENTHD1,0,0.994677935
ERAS,0.005008428,0.862386593
ERICH6,0.009824125,0.741460518
ESRRG,0,0.994677935
EXOC3L2,0,0.994677935
F2RL3,0,0.994677935
FADS6,0,0.994677935
FAM153A,0.005008428,0.862386593
FAM155A,0.005008428,0.862386593
FAM163B,0,0.994677935
FAM169B,0,0.994677935
FAM177B,0,0.994677935
FAM240B,0,0.994677935
FAM86B2,0.009824125,0.741460518
FBXO40,0,0.994677935
FBXW10,0.009824125,0.737561116
FCGR1A,0.005008428,0.862386593
FEZF2,0,0.994677935
FFAR2,0.005008428,0.862386593
FGF14,0,0.994677935
FGL2,0.005008428,0.862386593
FLRT3,0.009824125,0.728170816
FOXB2,0.005008428,0.862386593
FOXD4L3,0.005008428,0.862386593
FOXD4L6,0.009824125,0.741460518
FOXE1,0.005008428,0.862386593
FOXI2,0.005008428,0.862386593
FOXL1,0.005008428,0.862386593
FOXR2,0,0.994677935
FPR1,0.005008428,0.862386593
FREM2,0.005008428,0.862386593
FUT7,0.005008428,0.862386593
FZD4,0.005008428,0.862386593
GABRA4,0,0.994677935
GABRB3,0.015958145,0.657311315
GALNT16,0.009824125,0.741460518
GARNL3,0.005008428,0.862386593
GBGT1,0,0.994677935
GCNT2,0.005008428,0.862386593
GCNT3,0.005008428,0.862386593
GDAP1L1,0.016786561,0.659998036
GDNF,0.005008428,0.862386593
GH1,0.005008428,0.862386593
GHR,0,0.994677935
GJB1,0.005008428,0.862386593
GLOD5,0.005008428,0.862386593
GNAO1,0.005147797,0.860491506
GNLY,0.005008428,0.862386593
GOLGA6L7P,0.005008428,0.862386593
GPR34,0.005008428,0.862386593
GPR4,0.005008428,0.862386593
GPR52,0,0.994606996
GPR62,0,0.994677428
GPT2,0,0.994677935
GRAMD2,0.005008428,0.862386593
GRIN1,0,0.994677935
GRIN2B,0,0.994677935
GRIP2,0.005008428,0.862386593
GRM8,0.005008428,0.862386593
GRXCR2,0,0.994677935
GSDMC,0.005008428,0.862386593
GSX2,0.005008428,0.862386593
H2AFB3,0.005008428,0.862386593
H2AFY2,0.016541385,0.633924515
HAPLN2,0,0.994677935
HCAR3,0.005008428,0.862386593
HCN1,0,0.994677935
HCRT,0.005008428,0.862386593
HEPACAM2,0,0.994677935
HEPH,0.005008428,0.862386593
HIST1H1A,0.005008428,0.862386593
HIST1H1T,0.005008428,0.862386593
HIST3H2BB,0.02385657,0.529843607
HLA-DQB2,0.005008428,0.862386593
HMCN1,0.005008428,0.862386593
HOGA1,0,0.994677935
HOXA5,0.005008428,0.862386593
HOXB2,0,0.994677935
HOXD10,0,0.994677935
HRASLS2,0.015958145,0.657311315
HSD17B3,0.036697141,0.426149903
HSF5,0.005008428,0.862386593
HSFX3,0.005008428,0.862386593
HSFX4,0.005008428,0.862386593
HTR2B,0,0.992823353
IGDCC3,0,0.994677935
IGF1,0.005008428,0.862386593
IGF2,0,0.994677935
IGF2BP1,0,0.994677935
IGFBPL1,0,0.994677935
IGFN1,0.005008428,0.862386593
IL17F,0.005008428,0.862386593
IL22RA1,0,0.994677935
IL24,0,0.994677935
IL37,0.005008428,0.862386593
IL3RA,0,0.994677935
IL5RA,0.005008428,0.862386593
IL6,0,0.994677935
INSRR,0,0.994677935
ISLR,0,0.994677935
ITGA2,0,0.994677935
ITGAX,0.005008428,0.862386593
ITIH5,0.040546675,0.39267185
ITLN1,0,0.994437516
JPH2,0,0.994677935
KAZN,0.005008428,0.862386593
KCNA2,0.005008428,0.862386593
KCNC3,0.005147797,0.860491506
KCNE3,0,0.994677935
KCNE4,0,0.994677935
KCNG1,0.005008428,0.862386593
KCNG4,0,0.994677935
KCNJ12,0.005008428,0.862386593
KCNJ6,0,0.994677935
KCNK10,0,0.994677935
KCNMB1,0.005147797,0.860491506
KCNN1,0.009824125,0.713701205
KIF19,0,0.994677935
KISS1R,0,0.994677935
KLHL41,0,0.994677935
KRT25,0.005008428,0.862386593
KRT79,0.005008428,0.862386593
KRT81,0,0.994677935
KRTAP5-8,0.005008428,0.862386593
L3MBTL4,0.005008428,0.862386593
LANCL3,0.005008428,0.862386593
LARGE1,0.005008428,0.862386593
LARGE2,0.005008428,0.862386593
LDHAL6B,0.005008428,0.862386593
LDLRAD2,0,0.994677935
LEFTY1,0.005008428,0.862386593
LGALS12,0.009824125,0.741460518
LGALS2,0.005008428,0.862386593
LIF,0.005147797,0.860491506
LIPN,0,0.994677935
LMAN1L,0,0.994677935
LMNTD1,0,0.994677935
LPAR6,0.009824125,0.748239662
LRRC3C,0.005276442,0.858765114
LSAMP,0.005008428,0.862386593
LY6G6C,0.005008428,0.862386593
LY6K,0,0.994677935
MAATS1,0,0.994677935
MAB21L1,0.009824125,0.748239662
MAGEA10,0,0.994677935
MAK,0.005008428,0.862386593
MALL,0.005008428,0.862386593
MANSC4,0,0.994677935
MAPK15,0.005008428,0.862386593
MARVELD3,0.008596167,0.819929301
MATN3,0.005008428,0.862386593
MB,0.005008428,0.862386593
MBP,0.009824125,0.728170816
MGAT4C,0.016037323,0.667352379
MGLL,0.009824125,0.741460518
MGST2,0,0.994677935
MGST3,0.009824125,0.737561116
MID2,0,0.994677935
MMP21,0,0.994677935
MNDA,0,0.994677935
MORN5,0,0.994677935
MRO,0.005008428,0.862386593
MSTN,0,0.99453583
MUC6,0,0.994504093
MYL10,0.005008428,0.862386593
MYL4,0.005008428,0.862386593
MYO15A,0.06039174,0.297345668
MYO5B,0.005008428,0.862386593
NAA11,0.005008428,0.862386593
NAALAD2,0,0.994677935
NANOG,0,0.994677935
NAP1L6,0.005008428,0.862386593
NCAN,0,0.994677428
NCF2,0.010845949,0.797886243
NCKAP5,0.005008428,0.862386593
NCS1,0.005008428,0.862386593
NECAB2,0,0.994677935
NFASC,0.005008428,0.862386593
NFATC2,0.005008428,0.862386593
NKX6-2,0.009824125,0.713701205
NLRP4,0.005008428,0.862386593
NMU,0,0.994677935
NPC1L1,0.005008428,0.862386593
NPFF,0.005008428,0.862386593
NPR1,0,0.994677935
NRXN3,0,0.994677935
NT5C1A,0.005008428,0.862386593
NTNG1,0,0.994677935
OIT3,0.005008428,0.862386593
OLR1,0,0.994677935
OMG,0.005008428,0.862386593
ONECUT3,0,0.994677935
OPRK1,0.005008428,0.862386593
OR4F3,0,0.994677935
OR7A5,0.017109804,0.628276752
OSCAR,0,0.994677935
OTP,0.009824125,0.748239662
OXCT2,0.005008428,0.862386593
P2RX3,0,0.994677935
PAK3,0,0.994677935
PALM2,0,0.994677935
PAPPA2,0,0.994677935
PAPSS2,0.005008428,0.862386593
PARD3B,0.005008428,0.862386593
PASD1,0.005008428,0.862386593
PCDHGC5,0,0.994383776
PCLO,0.005008428,0.862386593
PCSK1N,0.005008428,0.862386593
PDE7B,0,0.994677935
PDK4,0,0.994677935
PDZD9,0.005008428,0.862386593
PECAM1,0,0.994677935
PGA3,0.009824125,0.734886202
PGK2,0.005008428,0.862386593
PHYHD1,0.005008428,0.862386593
PI15,0.005008428,0.862386593
PKD1L3,0.005008428,0.862386593
PKLR,0.005008428,0.862386593
PLA2G2C,0.005008428,0.862386593
PLA2G2D,0.005008428,0.862386593
PLA2R1,0,0.994677935
PLCB4,0,0.994677935
PLEKHA4,0,0.994677935
PLOD2,0,0.994677935
PLPP7,0.009824125,0.734886202
PLXNA2,0.005008428,0.862386593
PMCH,0,0.992781399
PNLIPRP3,0,0.994677935
PNMA2,0.018532071,0.568732668
PNMA8B,0,0.994677935
POPDC3,0.02515734,0.588225936
POTEG,0,0.994677935
PPBP,0.005008428,0.862386593
PPFIA4,0.005008428,0.862386593
PRICKLE2,0,0.994677935
PRKG2,0.005008428,0.862386593
PRKN,0,0.994677935
PRMT8,0,0.994677935
PROX2,0,0.994677935
PROZ,0.005147797,0.860491506
PRR23C,0,0.994677935
PRRG1,0,0.994677935
PRSS42,0.005342793,0.85788301
PRSS50,0,0.994677935
PTGIS,0.005008428,0.862386593
RAB17,0,0.994677935
RAB26,0.005008428,0.862386593
RAB36,0.009824125,0.728170816
RAB39A,0,0.994677935
RAB40AL,0,0.994677935
RALYL,0.005008428,0.862386593
RANBP17,0.005008428,0.862386593
RARB,0.005008428,0.862386593
RASAL2,0.005147797,0.860491506
RBBP8NL,0.005008428,0.862386593
RBM20,0,0.994677935
RBM47,0.005013698,0.862314461
REG4,0,0.994677935
RFPL4A,0.005008428,0.862386593
RGMA,0.005008428,0.862386593
RHBDF1,0,0.994677935
RHO,0.005008428,0.862386593
RIPPLY3,0.005008428,0.862386593
RLN3,0.005008428,0.862386593
RNF130,0.024347126,0.594488434
RNF183,0.005472759,0.856171065
RPH3A,0.00854836,0.820427851
RSPH4A,0.005008428,0.862386593
S100A3,0.005008428,0.862386593
SAMD14,0,0.994677935
SAXO1,0.072683109,0.233926677
SBSPON,0,0.994677935
SCGB3A1,0,0.994677935
SCN2A,0,0.994677935
SCNN1A,0,0.994677935
SCRT1,0.005132518,0.860697992
SDR42E2,0.009824125,0.728170816
SEC14L6,0.005008428,0.862386593
SEMA3C,0.005008428,0.862386593
SERPINA10,0.005008428,0.862386593
SERPINB5,0.005008428,0.862386593
SERPINE3,0.009824125,0.741460518
SFRP4,0.005008428,0.862386593
SHC2,0.005132518,0.860697992
SHD,0,0.994677935
SHROOM3,0.005008428,0.862386593
SIGLEC11,0,0.994437516
SLC16A11,0.005008428,0.862386593
SLC16A12,0.005008428,0.862386593
SLC1A6,0.006393238,0.844592986
SLC24A2,0,0.994606996
SLC25A2,0.005276442,0.858765114
SLC25A48,0.009824125,0.737561116
SLC2A5,0,0.99378496
SLC34A3,0.005008428,0.862386593
SLC35F3,0.005008428,0.862386593
SLC35G5,0.005008992,0.862378877
SLC36A2,0,0.994677935
SLC39A2,0,0.994677935
SLC5A1,0.005008428,0.862386593
SLC5A11,0.017690983,0.596833643
SLC9C1,0,0.994677935
SLFN14,0.005008428,0.862386593
SMAD9,0.005008428,0.862386593
SMIM18,0,0.994677935
SNX31,0.005008428,0.862386593
SORCS1,0,0.994677935
SORCS2,0,0.994677935
SOST,0,0.994677935
SOX13,0,0.994677935
SPATA3,0.005008428,0.862386593
SPATA6,0,0.994677935
SPDYE1,0,0.994677935
SPDYE5,0.009824125,0.737561116
SPINK4,0.005008428,0.862386593
SPP2,0,0.994677935
SRD5A2,0.005008428,0.862386593
SRPK3,0.017959969,0.587645077
ST14,0,0.994677935
ST6GAL2,0.005008428,0.862386593
STK32A,0,0.992890884
STOX2,0,0.994677935
STPG3,0.005008428,0.862386593
STPG4,0.005008428,0.862386593
SULT1E1,0,0.994677935
SUSD5,0.005008428,0.862386593
SYCP1,0.005008428,0.862386593
SYNGR3,0,0.994677935
SYT14,0,0.994677935
SYT6,0,0.994677935
SYTL4,0,0.994677935
TAC4,0.005008428,0.862386593
TAGLN3,0,0.994677935
TARM1,0.009824125,0.728170816
TAS2R3,0.009824125,0.712510631
TAS2R8,0.005008428,0.862386593
TEX101,0,0.994677935
TGM4,0.005008428,0.862386593
THEGL,0,0.994677935
THSD4,0,0.994677935
TIGIT,0.011272843,0.793976748
TKTL2,0.005008428,0.862386593
TMCO2,0,0.994677935
TMEM105,0,0.994383776
TMEM150B,0.009824125,0.734886202
TMEM17,0.005008428,0.862386593
TMEM176B,0,0.994677428
TMEM221,0,0.994677935
TMEM239,0.005008428,0.862386593
TMEM45A,0.009824125,0.728170816
TMEM98,0.005008428,0.862386593
TMPRSS4,0.009824125,0.728170816
TMPRSS7,0,0.994677935
TNC,0,0.994677935
TNFRSF11B,0.005008428,0.862386593
TNFRSF6B,0.009824125,0.741460518
TOMM20L,0.005008428,0.862386593
TOPAZ1,0,0.994677935
TPO,0,0.994677935
TRIM50,0,0.994677935
TRIM55,0,0.994677935
TRIM61,0.005008428,0.862386593
TRPM3,0,0.994677935
TSGA13,0,0.994383776
TSPO,0.005008428,0.862386593
TTC22,0.005008428,0.862386593
TTC6,0.005008428,0.862386593
TUBA3D,0.005008428,0.862386593
TUBB8,0.009824125,0.712510631
UEVLD,0.005008428,0.862386593
ULK2,0.009824125,0.748239662
UNC45B,0.009824125,0.713701205
UNC5B,0.005008428,0.862386593
VAX1,0.005008428,0.862386593
VEGFD,0.005008428,0.862386593
VSTM2L,0.009824125,0.737561116
VTCN1,0,0.994677935
VWC2L,0.005008428,0.862386593
WDR87,0,0.994677935
WNT2,0.005008428,0.862386593
WNT7A,0.009824125,0.728170816
WNT9B,0,0.994677935
WSCD1,0.01298004,0.779053836
XCL2,0.016720026,0.629544491
XIRP2,0.005008428,0.862386593
ZFPM2,0.005008428,0.862386593
ZMYND15,0.005008428,0.862386593
ZNF256,0.006036278,0.848975854
ZNF536,0.005132518,0.860697992
ZNF69,0.009824125,0.741460518
ZNF835,0,0.994677935
ZNF883,0.005008428,0.862386593
ZSCAN10,0,0.994677935
ZSCAN18,0.010487607,0.801229111
ZYG11A,0.005008428,0.862386593
PHB,0.170947598,0.012621031
ARL15,0.208673949,0.210107758
SOCS7,-0.27124148,2.44E-05
PDE4C,0.07022683,0.397801559
ZNF579,0.025049324,0.858707801
RAE1,0.058897381,0.298117913
LSMEM2,0.007835048,0.918547657
RFLNA,-0.021433762,0.748085304
MSRB1,0.340099543,0.016125575
ADHFE1,-0.016673974,0.757684059
PLXNA4,-0.019548445,0.728450745
FHAD1,0.038400957,0.620452052
IRGM,-0.086570408,0.161541494
TPRA1,0.438071152,0.000338439
ITPR2,-0.572973191,9.17E-23
RILPL2,0.099144278,0.325970444
FNDC8,0.018617962,0.846202123
AL157392.5,0.019981555,0.89949595
POLRMT,0.144625892,0.133294904
DTX1,-0.034953786,0.614972957
ARHGAP23,-0.186396948,0.020660953
MRGPRG,-0.004622965,0.872883912
PLS3,-0.004622965,0.872883912
PNMA8A,-0.004622965,0.872883912
SBSN,-0.004622965,0.872883912
TMEM45B,-0.004622965,0.872883912
TSPAN1,-0.004622965,0.872883912
ZNF350,-0.004622965,0.872883912
ZNF728,-0.004622965,0.872883912
AC007326.4,-0.004622965,0.872883912
ASPA,-0.004622965,0.872883912
C2orf81,-0.004622965,0.872883912
CD276,-0.004622965,0.872883912
GHRL,-0.004622965,0.872883912
RAB25,-0.004622965,0.872883912
SGPP2,-0.004622965,0.872883912
SRSF12,-0.004622965,0.872883912
SSX1,-0.004622965,0.872883912
VENTX,-0.004622965,0.872883912
ANKRD62,-0.004622965,0.872883912
APOL1,-0.004622965,0.872883912
CSDC2,-0.004622965,0.872883912
EXOC3L1,-0.004622965,0.872883912
GNGT2,-0.004622965,0.872883912
MPP4,-0.004622965,0.872883912
NWD1,-0.004622965,0.872883912
POU4F3,-0.004622965,0.872883912
STC2,-0.004622965,0.872883912
STPG2,-0.004622965,0.872883912
TAS2R13,-0.004622965,0.872883912
XG,-0.004622965,0.872883912
ZNF662,-0.004622965,0.872883912
ABCA9,-0.004622965,0.872883912
APOBEC3H,-0.004622965,0.872883912
ASIP,-0.004622965,0.872883912
B4GALNT2,-0.004622965,0.872883912
CA12,-0.004622965,0.872883912
CCL28,-0.004622965,0.872883912
HOPX,-0.004622965,0.872883912
L1CAM,-0.004622965,0.872883912
SHANK2,-0.004622965,0.872883912
SLC5A5,-0.004622965,0.872883912
SPATA12,-0.004622965,0.872883912
TSSK2,-0.004622965,0.872883912
ZBBX,-0.004622965,0.872883912
AL355987.1,-0.004622965,0.872883912
ASB11,-0.004622965,0.872883912
CCDC180,-0.004622965,0.872883912
ELMOD1,-0.004622965,0.872883912
FAM3D,-0.004622965,0.872883912
FKBP6,-0.004622965,0.872883912
HMX2,-0.004622965,0.872883912
LGSN,-0.004622965,0.872883912
SCN7A,-0.004622965,0.872883912
SPDEF,-0.004622965,0.872883912
ABCA6,-0.004622965,0.872883912
AMY2A,-0.004622965,0.872883912
ARFGEF3,-0.004622965,0.872883912
BTBD16,-0.004622965,0.872883912
CD160,-0.004622965,0.872883912
GATA1,-0.004622965,0.872883912
HSD17B2,-0.004622965,0.872883912
IL12RB1,-0.004622965,0.872883912
RAB20,-0.004622965,0.872883912
PKD2L2,-0.011417025,0.911188966
KPNA4,-0.136441052,0.003774008
AQP6,-0.004873893,0.869486176
PSMG4,0.23251579,0.078644941
NOC2L,-0.040334304,0.537347952
FBXL22,0.009302089,0.923681585
ZBTB3,-0.101375995,0.521651544
IL18R1,-0.012907723,0.682230495
TRPM2,-0.326124678,0.057701309
HHIPL2,0.000278491,0.993592958
TM4SF19-TCTEX1D2,0.000278491,0.993592958
PTGS1,0.000279012,0.993586903
MEST,0.000279386,0.993582562
FGD3,-0.000989577,0.990776651
DGKB,0.000280839,0.993565736
AC007731.5,0.050875747,0.587627893
FGF6,-0.020997196,0.76554075
SDC1,0.000286343,0.993502365
ZEB2,0.000286343,0.993502365
ECT2L,-0.006922392,0.844522164
AC011043.2,0.000288897,0.993473161
TLR10,0.000288897,0.993473161
CCDC144A,0.000289123,0.993470583
IRX4,0.000289123,0.993470583
CCDC175,0.000291997,0.993437885
C9,-0.007043479,0.843172068
TFAP2E,0.065245825,0.330915141
ATOH8,-0.007083796,0.842725138
ZNF43,-0.116716164,0.113227953
NETO2,0.000297367,0.993377195
PDE6H,0.000297367,0.993377195
SPAG6,0.000298433,0.993365217
MYOCOS,0.000299252,0.993356019
SPANXB1,0.00029975,0.993350435
NXNL2,0.000304185,0.993300904
SH3GL2,0.000304185,0.993300904
RASSF4,-0.007309377,0.840247837
C1orf141,-0.007336685,0.839950577
NRG4,-0.007336685,0.839950577
ANKRD6,0.000306514,0.993275043
TMC1,0.000307808,0.9932607
SLC13A3,0.000308287,0.993255411
ALOX12,-0.007424825,0.838994927
COBL,0.000311591,0.993218971
AATK,-0.00750065,0.838177368
CCDC78,-0.018970873,0.813559258
ERVW-1,0.000315296,0.993178335
ABCB4,-0.007575577,0.837373589
LINC00282,-0.007575577,0.837373589
ZNF667,0.000315917,0.993171546
FCGR2A,-0.007581203,0.837313394
NUPR1,0.000318083,0.993147918
PAX2,-0.007689873,0.836155146
ZNF532,-0.007689873,0.836155146
SNTG2,-0.007704887,0.835995777
FBXW2,-0.100568057,0.058866511
GBP6,-0.00782966,0.834677336
CES4A,-0.007831218,0.834660937
LENEP,-0.007831218,0.834660937
SVIP,0.000327793,0.993042932
PNPLA1,-0.007875031,0.834200546
MEIS3,-0.007880516,0.834142998
FAM106A,-0.016300894,0.670965145
TERB1,-0.016342297,0.678388266
PPY,-0.008147887,0.831361982
CCL25,0.008887255,0.835430038
ELP6,0.15225139,0.071107105
NEIL1,0.019631794,0.87564465
RNF222,-0.008601761,0.826744608
ABCG2,0.070871985,0.322638691
CPN1,0.0095879,0.783085997
RPL21,0.278767669,8.25E-05
RBM5,-0.146468129,0.020810305
STKLD1,-0.01773973,0.77550825
DBF4B,-0.184634714,0.102938876
CPLX1,0.119746543,0.418451946
PIP5K1B,-0.020345484,0.584530135
C9orf152,-0.020563012,0.640548283
COL2A1,-0.021106248,0.626841213
AC011841.1,0.011201013,0.799543007
CDH6,-0.021234387,0.614494676
CYFIP1,-0.036562803,0.568832054
UNC5A,0.01143253,0.784992422
SPTBN5,0.000440289,0.991921127
S1PR4,0.000442773,0.991898017
C2orf54,0.000443875,0.99188778
EXOC5,-0.04733682,0.310448126
FCAR,-0.021833705,0.620798433
MYO3B,0.01159389,0.796013006
CCDC154,0.001528733,0.960977198
DNAJB13,0.011630346,0.783189221
PTX3,-0.021973655,0.608336015
XKR3,-0.021973655,0.608336015
DZIP1L,0.000449193,0.991838574
ABI3BP,0.011675413,0.782780738
CDH15,0.000450255,0.991828775
NLRP3,-0.018395175,0.746389236
ACOT9,0.000452176,0.991811091
NACC2,-0.022189805,0.606559564
MEP1B,0.020817134,0.740342871
ACP5,0.021520873,0.713334216
PPP2R3A,0.000455862,0.991777251
ELMSAN1,-0.337368751,0.000633078
ATF7IP2,0.000464267,0.991700568
TLR7,-0.011170508,0.802666016
AKAP14,0.000466328,0.991681862
KCNJ3,-0.011246367,0.802000186
PYCR2,0.042608778,0.514031338
PPIAL4F,-0.023112027,0.628395051
OLFML3,-0.011476018,0.799998262
WNT10A,0.00048079,0.991551719
MYO7A,0.000483942,0.991523598
ZNF829,-0.023859836,0.59318428
CCL16,-0.01171999,0.797893633
CNGA1,-0.011722005,0.797876342
AC010646.1,-0.024000674,0.621491101
BPHL,0.123457792,0.266958327
ZNF888,-0.121303831,0.287223908
RPL10L,-0.011947744,0.801027516
KRT15,0.013012851,0.780007525
MTRNR2L7,0.000502458,0.991360155
TMC3,0.013167455,0.751135296
ZNF729,-0.024895183,0.585185543
TBC1D3H,0.000561878,0.993938001
GNG12,0.000517378,0.991230516
CDHR1,-0.012565592,0.790766071
HS3ST3A1,-0.023768791,0.736387815
DPF3,-0.04523336,0.692987815
RHBDD2,0.227667006,0.050852331
CLIC3,0.040968435,0.476753957
C20orf144,0.001070365,0.98827945
ARHGAP9,0.069813919,0.627630132
ANKUB1,-0.013584897,0.782491056
PXDNL,-0.01389769,0.794625208
DKK1,-0.014027601,0.770522944
TIMM9,0.219969738,0.009976246
PLAT,-0.029274824,0.564841373
RCVRN,0.0157014,0.749273181
ESRP2,0.015754344,0.748866516
KCNC1,-0.029843648,0.570370294
BTK,0.048973849,0.701722084
PAK6,-0.014652673,0.743663881
SLC26A8,0.000615082,0.970141453
VDR,-0.030186948,0.568031281
RHPN2,0.000617286,0.990404266
TCF23,0.000618839,0.990391938
RNASE2,0.016085665,0.74633894
CCNDBP1,0.25954092,2.50E-05
TSSK4,-0.014874672,0.763954118
ATCAY,0.00062133,0.990372196
CYP11A1,0.031684254,0.570770203
SHE,0.000623673,0.99035366
CABP4,0.00062449,0.990347211
TBPL2,0.016237901,0.745187397
ADRA2B,-0.067739044,0.412374216
ERICH6B,0.016298246,0.727542875
DCD,0.00062763,0.990322431
CSF1,0.016038104,0.833184525
HNRNPA3,-0.202365131,0.000910194
OR2B6,0.000632894,0.990281035
PKDREJ,0.016470495,0.743439726
MAP7D2,0.04205343,0.501435963
PATJ,0.000635476,0.990260785
DRC1,0.016572118,0.725635109
LYG2,0.000639792,0.990227022
CD44,-0.25869154,0.024158039
STMN4,0.000645533,0.990182278
DLL4,0.028229036,0.69755613
ZNF620,0.000654449,0.990113146
FKBP5,-0.253774811,1.15E-09
ABCC6,0.017053837,0.739117171
TTBK1,0.000657655,0.9900884
IGSF10,0.000660525,0.990066294
ENTPD1,0.017258911,0.750317136
SPRN,0.017334986,0.720435745
KCNRG,-0.090879107,0.585290508
IRF4,0.000667962,0.990009215
LEKR1,0.000668215,0.990007274
AIP,0.200290699,0.001275643
INPP5J,0.080344092,0.270831622
HUNK,2.71E-05,0.998280632
LRRFIP2,0.141242817,0.068434728
TSPAN15,0.066312316,0.707610963
ZBTB5,0.154169663,0.038811284
BCL2A1,0.001898353,0.976165769
FOXK2,-0.11275141,0.094749201
MAPK12,0.000729978,0.96595057
VRK2,-0.017544076,0.767431655
C2orf16,0.00073608,0.978909524
VSIR,0.000739181,0.991356161
TNIP3,-0.036667821,0.506595763
DNAJC4,0.182250057,0.310972281
ECEL1,-0.103494267,0.418668436
COL5A1,0.038661139,0.535286375
MASP2,-0.018201063,0.740036324
RPS23,0.031156209,0.815069027
SULF2,0.019746241,0.705001974
EPPK1,0.038907304,0.525466098
ZNF488,-0.037443732,0.521813035
METTL4,0.018294304,0.848169939
LPIN1,-0.066661663,0.380234108
C1orf226,-0.013393153,0.844001275
PTGER3,0.039080582,0.52443774
GRM2,-0.018537506,0.737763591
OSR1,0.000777835,0.989197773
ZSCAN5B,-0.000148207,0.989472007
GCK,-0.042551766,0.488208461
RPS15,0.224646716,9.42E-05
ELL3,-0.076660715,0.655397528
FAM124B,0.060623172,0.355519245
ATG9A,0.052010793,0.644790189
ZNF511,0.193020551,0.098168446
VASH1,0.001469172,0.960702839
HCN2,0.024211119,0.767033956
COL6A1,-0.210387922,0.202209093
GNAL,0.040377385,0.484845308
MYH3,0.023717283,0.878039383
SMAP2,0.092793467,0.082677576
PIF1,0.100518422,0.566943967
NECTIN4,-0.021632725,0.722106667
